addr,name,size,factor_a,factor_b,unit,format,description
0x0010,aroIST_4,2,0.035993,0.000000,kg/h,6.2f,MLt Luftmassenstrom n. Linearisierung u. Mittelung
0x0E00,edmRSTCD,2,1.000000,0.000000,-,6.2f,Restart Code
0x0E02,mrmN_LLBAS,2,1.000000,0.000000,1/min,6.2f,N Leerlaufsolldrehzahl
0x0E80,ehmFARS,2,0.010000,0.000000,%,6.2f,Tastverhaeltnis Ansteuerung AGR-Steller
0x0E81,ehmFLDS,2,0.010000,0.000000,%,6.2f,Tastverhaeltnis Ansteuerung Ladedrucksteller
0x0E87,ehmFGRS,2,0.010000,0.000000,%,6.2f,Tastverhaeltnis Ansteuerung Gluehrelais
0x0E91,ehmFKLI,2,0.010000,0.000000,%,6.2f,Tastverhaeltnis Ansteuerung Klimakompressor
0x0E9A,ehmFDRA,2,0.010000,0.000000,%,6.2f,Tastverhaeltnis Ansteuerung Drallklappe
0x0E9B,ehmFKWH,2,0.010000,0.000000,%,6.2f,Tastverhaeltnis Ansteuerung Kuehlwasserheizung
0x0E9F,ehmFMML,2,0.010000,0.000000,%,6.2f,Tastverhaeltnis Ansteuerung Motorlager
0x0EA2,ehmFMLS,2,0.010000,0.000000,%,6.2f,Tastverhaeltnis Ansteuerung Elektroluefter
0x0EA5,ehmFKDR,2,0.010000,0.000000,%,6.2f,Tastverhaeltnis Ansteuerung Raildruckregelventil
0x0EA6,ehmFEKP,2,0.010000,0.000000,%,6.2f,Tastverhaeltnis Ansteuerung Vorfoerderpumpe
0x0ECC,khoGENLAST,2,0.010000,0.000000,%,6.2f,Generatorlast
0x0EE0,aroREG_2,2,1.000000,0.000000,-,6.2f,AGR-Status  Regelung / Steuerung / Abschaltung
0x0F00,MOTORTEMPERATUR,2,0.100000,-273.140000,Grad C,6.2f,WTF Wassertemperatur
0x0F01,AN_LUFTTEMPERATUR,2,0.100000,-273.140000,Grad C,6.2f,LTF Lufttemperatur
0x0F02,anmKTF,2,0.100000,-273.140000,Grad C,6.2f,KTF Kraftstofftemperatur
0x0F08,fgmFGAKT,2,0.010000,0.000000,km/h,6.2f,aktuelle Geschwindigkeit
0x0F09,mrmFG_SOLL,2,0.010000,0.000000,km/h,6.2f,V Sollwert Fahrgeschwindigkeit von FGR
0x0F0A,fgmBESCH,2,0.084771,-10.850694,m/s^2,6.2f,Beschleunigung
0x0F0B,fgm_VzuN,2,0.000039,0.000000,(km/h)/(1/min),6.2f,Verhaeltnis Geschwindigkeit/Drehzahl (V/N aktuell) 
0x0F10,MOTORDREHZAHL,2,1.000000,0.000000,1/min,6.2f,N Drehzahl
0x0F12,dzmNakt,2,1.000000,0.000000,1/min,6.2f,N aktuelle Drehzahl aus letzter Periode
0x0F13,dzmzN1,2,1.000000,0.000000,1/min,6.2f,Selektive Drehzahl Zylinder 1
0x0F14,dzmzN2,2,1.000000,0.000000,1/min,6.2f,Selektive Drehzahl Zylinder 2
0x0F15,dzmzN3,2,1.000000,0.000000,1/min,6.2f,Selektive Drehzahl Zylinder 3
0x0F16,dzmzN4,2,1.000000,0.000000,1/min,6.2f,Selektive Drehzahl Zylinder 4
0x0F17,dzmzN5,2,1.000000,0.000000,1/min,6.2f,Selektive Drehzahl Zylinder 5
0x0F18,dzmzN6,2,1.000000,0.000000,1/min,6.2f,Selektive Drehzahl Zylinder 6
0x0F19,dzmzMk1,2,0.010000,0.000000,mm^3,6.2f,Selektive Mengenkorrektur Zylinder 1
0x0F1A,dzmzMk2,2,0.010000,0.000000,mm^3,6.2f,Selektive Mengenkorrektur Zylinder 2
0x0F1B,dzmzMk3,2,0.010000,0.000000,mm^3,6.2f,Selektive Mengenkorrektur Zylinder 3
0x0F1C,dzmzMk4,2,0.010000,0.000000,mm^3,6.2f,Selektive Mengenkorrektur Zylinder 4
0x0F1D,dzmzMk5,2,0.010000,0.000000,mm^3,6.2f,Selektive Mengenkorrektur Zylinder 5
0x0F1E,dzmzMk6,2,0.010000,0.000000,mm^3,6.2f,Selektive Mengenkorrektur Zylinder 6
0x0F30,armM_List,2,0.100000,0.000000,mg/Hub Luft,6.2f,M_L aktuelle Luftmasse
0x0F31,aroSOLL_5,2,0.100000,0.000000,mg/Hub Luft,6.2f,M_L Luft-Sollwert nach Sollwertbegrenzung
0x0F32,armM_Lsoll,2,0.100000,0.000000,mg/Hub Luft,6.2f,M_L Sollwert fuer AGR-Regelung
0x0F34,anoU_LMM,2,0.004888,0.000000,V,6.2f,LMM Spannung Luftmassenmesser
0x0F35,PWG_POTI_SPANNUNG,2,0.004888,0.000000,V,6.2f,PWG Spannung Pedalwertgeber Poti 1
0x0F40,ldmP_Llin,2,1.000000,0.000000,mbar,6.2f,aktueller Ladedruck  / Luftdruck
0x0F41,ldmADF,2,1.000000,0.000000,mbar,6.2f,aktueller Atmosphaerendruck
0x0F42,ldmP_Lsoll,2,1.000000,0.000000,mbar,6.2f,Sollwert Ladedruck
0x0F48,ldmT_LTGG,2,0.100000,-273.140000,Grad C,6.2f,Errechnete Lufttemperatur
