addr,name,size,factor_a,factor_b,unit,format,description
0x0004,CoEng_rTrq,2,0.393699,0.000000,%,8.4f,Verhältnis aktuelles Moment zu Maximalmoment
0x0005,CTSCD_tClntLin,2,1.000240,-41.084307,deg C,8.3f,linearisierter Wert aus HWK vorm Aufruf der Übergangsfunktion
0x000B,BPSCD_pLin,2,10.002401,0.000000,hPa,8.2f,Mittelere Ladedruck-Wert (liniarisiert)
0x000C,Eng_nAvrg_Carb,2,0.250000,0.000000,rpm,8.2f,Avarage engine speed
0x000D,VSSCD_vSensVal,2,0.999001,0.000000,km/h,8.4f,Vehicle speed sensed value
0x000F,AFSCD_tAir_mp,2,1.000240,-41.084307,deg C,8.3f,linearisierter Wert aus HWK vorm Aufruf der Übergangsfunktion
0x0010,AFSCD_dmAirRawPerTime,2,0.036001,0.000000,Kg/h,8.3f,LMM Luftmassenmesser HFM
0x0021,DSMDur_ctDfctDur1_Carb,2,1.000000,0.000000,-,8.2f,OBD: Travelled Distance with MIL on
0x0050,AFSCD_mAirPerCyl,2,0.048829,-1599.971484,mg/Hub,8.3f,angesaugte Luftmasse pro Zylinder
0x0051,AFSCD_rAir,2,0.010000,0.000000,%,8.4f,duty cycle of the air temparature signal
0x0052,AFSCD_dmAirPerTime,2,0.048829,-1599.971484,Kg/h,8.3f,HFM Luftmassenstrom
0x0053,PFlt_lSum_mp,2,1.000000,0.000000,m,13.2f,ges. gefahrene Strecke bei der letzten erfolgr. Regeneration
0x0054,PFlt_pDiff,2,0.125002,0.000000,hPa,8.2f,Differenzdruck über Partikelfilter
0x0055,InjCtl_qCurr,2,0.003052,-99.998993,mg/cyc,8.4f,Einspritzmenge aktueller Wert
0x0059,InjCtl_qSetUnBal,2,0.003052,-99.998993,mg/cyc,8.4f,Einspritzmenge Sollwert ohne Mengenausgleichsregelung
0x005B,FTSCD_tFuel,2,0.016787,-50.138440,deg C,8.3f,Kraftstofftemperatur
0x005F,APPCD_rLinAPP1,2,0.003052,0.000000,%,8.4f,linearisierter APP1
0x0060,APPCD_rLinAPP2,2,0.003052,0.000000,%,8.4f,linearisierter APP2
0x0061,GlwCtl_stLampOut,2,1.000000,0.000000,-,5.1f,Zustand der Glühanzeige
0x0062,GlwCtl_stActrOut,2,1.000000,0.000000,-,5.1f,Glow control actuator relay output
0x0064,APPCD_uRawAPP1,2,0.000611,0.000000,V,8.1f,Fahrpedal 1 Position Rohwert
0x0065,APPCD_uRawAPP2,2,0.000611,0.000000,V,8.1f,Fahrpedal 2 Position Rohwert
0x0066,APPCD_rFlt,2,0.003052,0.000000,%,8.4f,gefiltertes Pedalwertgebersignal
0x0068,PFlt_mSot,2,0.010000,0.000000,g,8.4f,Rußmasse im Partikelfilter
0x006C,PFlt_mAshOil_mp,2,0.010000,0.000000,g,8.4f,Ölaschenmasse
0x006D,PFlt_numEngPOp_mp,2,1.000000,0.000000,-,5.1f,Regeneriermaßnahme aufgrund PFlt- und Motorzustand
0x006E,APSCD_pVal,2,0.125002,0.000000,hPa,8.2f,Atmosphärendruck
0x006F,APSCD_uRaw,2,0.610958,0.000000,mV,8.1f,Rohspannung ADC-Signal Atmosphärendruck
0x0070,PFlt_numRgn_mp,2,1.000000,0.000000,-,5.1f,gesamte Regenerationsanforderung
0x0073,HWEMon_numRecovery,2,1.000000,0.000000,-,8.2f,Herkunft des letzten Reset ( >0 = Recovery )
0x007A,EGRCD_rOut,2,0.010000,0.000000,%,8.4f,Tastverhältnis zür Endstufenansteuerung
0x007B,BPACD_rOut,2,0.010000,0.000000,%,8.4f,Tastverhältnis zür Endstufenansteuerung
0x007C,GlwCtl_rPwrOut,2,1.000000,0.000000,-,5.1f,Glühanforderung
0x007E,PFlt_qFl_mp,2,0.010000,0.000000,l,8.4f,verbrauchter Treibstoff seit der letzten erfolgreichen Regeneration
0x0080,PSPCD_dvolOut,2,1.000000,0.000000,l/h,8.4f,Pre Supply Pump output value
0x0081,PSPCD_rActrOut_mp,2,1.000000,0.000000,-,8.2f,Vorförderpumpe Ansteuertastverhältnis
0x0082,AltCD_rAltLoad,2,0.003052,0.000000,%,8.4f,linearisiertes und fehlerentprelltes Generatorlastsignals
0x0088,AirCtl_mDesVal,2,0.048829,-1599.971484,mg/Hub,8.3f,Luftmassensollwert
0x008A,PCR_pDesVal,2,0.125002,0.000000,hPa,8.2f,Ladedrucksollwert
0x008F,CTSCD_uRaw,2,0.610958,0.000000,mV,8.1f,Wassertemperatur Spannungsrohwert
0x0090,CTSCD_tClnt,2,0.016787,-50.138440,deg C,8.3f,Kühlmitteltemperatur
0x0091,Eng_nAvrg,2,0.125002,0.000000,rpm,8.2f,mittlere Motordrehzahl
0x0093,BattCD_u,2,0.002456,0.000000,V,8.1f,Batteriespannung
0x0094,VSSCD_v,2,0.003815,0.000000,km/h,8.4f,Fahrzeuggeschwindigkeit
0x0096,FMTC_trqInr,2,0.114445,-2500.060084,Nm,8.3f,aktuelles rückgerechnetes inneres Motormoment
0x0097,LIGov_trq,2,0.114445,-2500.060084,Nm,8.3f,Leerlaufreglermoment
0x0098,LIGov_nSetpoint,2,0.125002,0.000000,rpm,8.2f,Untergrenze Drehzahlintervall des LIGov
0x009A,IATSCD_tAirCats,2,0.016787,-50.138440,deg C,8.3f,Ladelufttemperatur nach Ladeluftkühler
0x009B,IATSCD_uRaw,2,0.610958,0.000000,mV,8.1f,Lufttemperatur Spannungsrohwert
0x009C,IATSCD_tAir,2,0.016787,-50.138440,deg C,8.3f,Ansauglufttemperatur
0x009D,BPSCD_uRawVal,2,0.610958,0.000000,mV,8.1f,Spannungsrohwert des Ladedrucksensors
0x009E,BPSCD_pOutVal,2,0.125002,0.000000,hPa,8.2f,Ladedruckwert
0x009F,VehDa_tiEngOn,2,99.900100,0.000000,s,13.2f,Erfassung der aktuellen Betriebszeit
0x00A0,OxiCCD_tPre,2,0.016787,-50.138440,deg C,8.3f,Abgastemperatur vor Oxidationskatalysator
0x00A1,OxiCCD_uRawTempPre,2,0.610958,0.000000,mV,8.3f,Abgastemperatur vor Oxidationskatalysator Rohwert
0x00A2,PFltCD_pPre,2,1.000000,0.000000,hPa,9.2f,Abgasdruck vor Partikelfilter
0x00A3,PFltCD_tPre,2,0.016787,-50.138440,deg C,8.3f,Abgastemp. vor Partikelfilter erster Sensor
0x00AE,EBAFCD_stSigOut,2,1.000000,0.000000,-,5.1f,source of activation for electrical power stage of EBAFCD output
0x00AF,OPSCD_stSigOut,2,1.000000,0.000000,-,5.1f,Ausgangssignal Öldruckschalter
0x00B0,EngM_stSync,2,1.000000,0.000000,-,5.1f,Meta-Status der KW- und NW-Ereignisverwaltung (Motorpositions-Management)
0x00C2,RailCD_pPeak,2,0.030518,0.000000,bar,5.3f,maximaler Raildruck der letzten 10ms
0x00C3,Rail_pSetPoint,2,0.030518,0.000000,bar,5.3f,Raildruck-sollwert
0x00CA,OPSCD_stpOEL,2,1.000000,0.000000,-,5.1f,oil preasure sensor signal
0x00D2,PFlt_stEngPOp,2,1.000000,0.000000,-,5.1f,Motorbetriebspunkt
0x00D3,RailCD_uPeakRaw,2,0.610958,0.000000,mV,8.1f,Rohwert des Raildrucks
0x00D4,FTSCD_uRaw,2,0.610958,0.000000,mV,8.1f,Spannungsrohwert der Kraftstoffstemperatur
0x00D6,PFltCD_uRawTempPre,2,0.610958,0.000000,mV,8.1f,Spannungsrohwert der Abgastemperatur vor dem Partikelfilter
0x00DD,PFlt_stIntr_mp,2,1.000000,0.000000,-,5.1f,Statuswort Regeneration unterbrochen
0x00DE,PFlt_stLck_mp,2,1.000000,0.000000,-,5.1f,Regeneration Blockierung und Freigabe
0x00E6,FanCD_dcycRaw_mp,2,0.010000,0.000000,%,8.4f,dutycycle Ubatt-corrected
0x00E7,ACCD_rDigOut_mp,2,1.000000,0.000000,-,8.2f,Digitalausgang Ansteuerung Klimakompressor
0x00E9,AOHtCD_rOut_mp,2,0.010000,0.000000,%,8.4f,Meßpunkt fuer korrigiertes Tastverhaeltnis der Zuheizeransteuerung
0x00EA,TVACD_rOut,2,0.010000,0.000000,%,8.4f,Tastverhältnis zür Endstufenansteuerung
0x00EB,VSACD_rOut,2,0.010000,0.000000,%,8.4f,Tastverhältnis zür Endstufenansteuerung
0x00EC,MeUnCD_dcycOut_mp,2,0.010000,0.000000,%,8.4f,Ausgangstastverhältnis
0x00ED,PCVCD_dcycOut_mp,2,0.010000,0.000000,%,8.4f,Ausgangstastverhältnis
0x00F7,PFlt_dvol,2,0.100000,0.000000,m^3/h,8.3f,berechneter Abgasvolumenstrom im Partikelfilter
0x00F8,PFlt_pEngPrtMax_mp,2,0.125002,0.000000,hPa,8.2f,Maximaldruck Motorschutz
0x00F9,PFlt_st1_mp,2,1.000000,0.000000,-,8.2f,lowWord-lowByte of regeneration status word
0x00FA,PFlt_st1_mp1,2,1.000000,0.000000,-,8.2f,Status des Partikelfilters  LowByte (->Signals)
0x00FB,PFlt_st2_mp,2,1.000000,0.000000,-,8.2f,highWord-lowByte of regeneration status word
0x00FC,PFlt_st2_mp1,2,1.000000,0.000000,-,8.2f,Status des Partikelfilters  HighByte (->Signals)
0x00FD,HWEMon_recLocLow_mp,2,1.000000,0.000000,-,8.2f,lowWord-lowByte adress recoverylocation
0x00FE,HWEMon_recLocLow_mp1,2,1.000000,0.000000,-,8.2f,LowAdresse recovery location
0x00FF,HWEMon_recLocHigh_mp,2,1.000000,0.000000,-,8.2f,HighAdresse recovery location
0x13B1,DSM_stSysLamp,2,1.000000,0.000000,-,5.1f,DSM System Lampen Anforderungsstatus (1 = kontinuierlich)
0x13B2,DSM_stMIL,2,1.000000,0.000000,-,5.1f,"DSM Mil Anforderungsstatus (1 = kontinuierlich, 2 blinkend)"
0x13B8,VehDa_lSum,2,1.000000,0.000000,m,13.2f,Erfassung gefahrene Strecke
0x13BB,VSSCD_a,2,0.000305,-9.999899,m/s^2,8.5f,Fahrbeschleunigung
0x13BC,InjCtl_qSet,2,0.003052,-99.998993,mg/cyc,8.4f,Einspritzmenge Sollwert
0x13BD,Rail_dvolMeUnSet,2,10.000000,0.000000,mm3/s,8.1f,Sollwert (Volumenstrom) von der Raildruckregelung
0x13C3,T15CD_stWakeUpRawVal_mp,2,1.000000,0.000000,-,5.1f,Rohwert des Wake Up Signals aus der HWE
0x13C4,AccPed_trqDes,2,0.114445,-2500.058653,Nm,8.3f,Fahrerwunsch Rohwert
0x13C5,PFlt_dmSotSimEmi_mp,2,0.010000,0.000000,mg/s,8.4f,generierte Partikelmasse
0x13C6,PFlt_dmSotSimRgnCRT_mp,2,0.010000,0.000000,mg/s,8.4f,abgebauter Partikelmassenstrom in Simulation durch CRT
0x13C7,PFlt_dmSotSimRgnThr_mp,2,0.010000,0.000000,mg/s,8.4f,abgebauter Partikelmassenstrom in Simulation durch thermische Regeneration
0x13C8,PFlt_dmSotSimRgn_mp,2,0.010000,0.000000,mg/s,8.4f,regenerierte Partikelmasse
0x13C9,AirCtl_stAirCtlBits1_mp,2,1.000000,0.000000,-,8.2f,Status of AirCtl as LowWord-LowByte
0x13CA,AirCtl_stAirCtlBits1_mp1,2,1.000000,0.000000,-,8.2f,AirCtl_stAirCtlBits_mp LowByte (->Signals)
0x13CB,AirCtl_stAirCtlBits2_mp,2,1.000000,0.000000,-,8.2f,Status of AirCtl as HighWord-LowByte
0x13CC,AirCtl_stAirCtlBits2_mp1,2,1.000000,0.000000,-,8.2f,AirCtl_stAirCtlBits_mp HighByte (->Signals)
0x13CD,MeUn_iSet_mp,2,0.228891,0.000000,mA,8.2f,Sollstrom für die Zumesseinheit
0x13CE,PFlt_pMid,2,0.125002,0.000000,hPa,8.2f,Absolutdruck im Partikelfilter
0x13D4,EGT_tiRgnOilDil,2,0.010000,0.000000,s,13.4f,Critical time for oil dilution
0x13D5,PCR_stMonitor,2,1.000000,0.000000,-,5.1f,Statusangabe bei Abschaltung der Regelung
0x13D7,PFlt_facMltCor_mp,2,0.000122,0.000000,-,8.6f,Korrekturfaktor Additivasche
0x13D9,AFSCD_tiRaw,2,0.100000,0.000000,us,8.3f,Periodendauerrohwert des Luftmassensensors
0x13DA,AFSCD_dmAirNorm,2,0.048829,-1599.971484,Kg/h,8.3f,Normalisierte Luftmasse
0x13DE,AirCtl_mGvnrDvt,2,0.048829,-1599.971484,mg/Hub,8.3f,Regelabweichung
0x13DF,CoEng_trqInrSet,2,0.114445,-2500.060084,Nm,8.3f,inneres Moment Sollwert (>Mengenberechnung)
0x13E0,IndSys_rVSA,2,0.010000,0.000000,%,8.4f,Sollposition für Einlaßkanalabschaltung
0x13E2,GlwCD_RawVal_mp,2,1.000000,0.000000,-,5.1f,Rohwert für das Glühanforderungsregister des Glühcontrollers
0x13E4,BrkCD_stMnSwtRawVal,2,1.000000,0.000000,-,5.1f,Rohwert Bremskontakt nicht entprellt
0x13E5,BrkCD_stRedSwtRawVal,2,1.000000,0.000000,-,5.1f,Rohwert redundanter Bremskontakt nicht entprellt
0x13E6,ConvCD_stRawVal,2,1.000000,0.000000,-,5.1f,Kupplungssignal Rohwert
0x13F1,PFlt_mSotMeas_mp,2,0.010000,0.000000,g,8.4f,Partikelmasse additivkorrigiert
0x13F2,PFlt_mSotMeasRaw_mp,2,0.010000,0.000000,g,8.4f,Strömungswdst. in Partikelmasse umgerechnet
0x13F3,PFlt_mSotSim_mp,2,0.010000,0.000000,g,8.4f,simulierte Partikelmasse
0x13F9,PFlt_tPreFlt_mp,2,0.016787,-50.138440,deg C,8.3f,PFlt_tPre PT1 gefiltert
0x13FA,PFlt_vVehFlt_mp,2,0.003815,0.000000,km/h,8.4f,VSSCD_v PT1 gefiltert
0x13FC,Clg_tiDynTst,2,0.010000,0.000000,s,13.4f,"Abgelaufene Zeit, seit der der dynamische plausibilitätstest aktiv ist"
0x13FD,Clg_dtDynTst,2,0.100000,0.000000,deg C,8.3f,Ansteig der Wassertemperatur seit start
0x13FE,PFlt_tSurf,2,0.016787,-50.138440,deg C,8.3f,Oberflächen Temperatur vom Partikel Filter
