Category,Bosch Name,Unit,DDE4 M57 (E39) ADR,DDE4 M57 (E39) FACT_A,DDE4 M57 (E39) FACT_B,DDE5 M57TU (E39/E46) ADR,DDE5 M57TU (E39/E46) FACT_A,DDE5 M57TU (E39/E46) FACT_B,DDE5 M57TU (E53) ADR,DDE5 M57TU (E53) FACT_A,DDE5 M57TU (E53) FACT_B,DDE5 M57TU (E60) ADR,DDE5 M57TU (E60) FACT_A,DDE5 M57TU (E60) FACT_B,DDE6 M57TU2 (E60/E90) ADR,DDE6 M57TU2 (E60/E90) FACT_A,DDE6 M57TU2 (E60/E90) FACT_B,DDE6.2 M57TU2TOP ADR,DDE6.2 M57TU2TOP FACT_A,DDE6.2 M57TU2TOP FACT_B,DDE5 M47TU (E46) ADR,DDE5 M47TU (E46) FACT_A,DDE5 M47TU (E46) FACT_B,DDE5 M47TU (E46/E83) ADR,DDE5 M47TU (E46/E83) FACT_A,DDE5 M47TU (E46/E83) FACT_B,DDE6 M47TU2 (E90) ADR,DDE6 M47TU2 (E90) FACT_A,DDE6 M47TU2 (E90) FACT_B
BOOST/AIR,AFSCD_dmAirNorm,Kg/h,,,,0x0052,-1599.971484,0,0x13DA,0.048829,-1599.971484,0x0052,-1599.971484,0,0x13A6,0.048829,-1599.971484,0x13A6,0.048829,-1599.971484,0x0052,-1599.971484,0,0x13DA,0.048829,-1599.971484,0x13A6,0.048829,-1599.971484
BOOST/AIR,AFSCD_dmAirPerTime,Kg/h,,,,0x002E,-1599.971484,0,0x0052,0.048829,-1599.971484,0x002E,-1599.971484,0,0x0080,0.048829,-1599.971484,0x0080,0.048829,-1599.971484,0x002E,-1599.971484,0,0x0052,0.048829,-1599.971484,0x0080,0.048829,-1599.971484
BOOST/AIR,AFSCD_dmAirRawPerTime,Kg/h,,,,0x0010,0.000000,0,0x0010,0.036001,0.000000,0x0010,0.000000,0,0x0010,0.036001,0.000000,0x0010,0.036001,0.000000,0x0010,0.000000,0,0x0010,0.036001,0.000000,0x0010,0.036001,0.000000
BOOST/AIR,AFSCD_dmAirSens,Kg/h,,,,,,,,,,,,,0x13A9,0.048829,-1599.971484,0x13A9,0.048829,-1599.971484,,,,,,,0x13A9,0.048829,-1599.971484
BOOST/AIR,AFSCD_mAirPerCyl,mg/Hub,,,,0x0050,-1599.971484,0,0x0050,0.048829,-1599.971484,0x0050,-1599.971484,0,0x0081,0.048829,-1599.971484,0x0081,0.048829,-1599.971484,0x0050,-1599.971484,0,0x0050,0.048829,-1599.971484,0x0081,0.048829,-1599.971484
BOOST/AIR,AFSCD_rAir,%,,,,0x004B,0.000000,0,0x0051,0.010000,0.000000,0x004B,0.000000,0,0x0083,0.010000,0.000000,0x0083,0.010000,0.000000,,,,0x0051,0.010000,0.000000,0x0083,0.010000,0.000000
BOOST/AIR,AFSCD_tiRaw,us,,,,0x0051,0.000000,0,0x13D9,0.100000,0.000000,0x0051,0.000000,0,0x13A7,0.100000,0.000000,0x13A7,0.100000,0.000000,,,,0x13D9,0.100000,0.000000,0x13A7,0.100000,0.000000
BOOST/AIR,AFSCD_tiRaw1,,,,,0x0076,0.000000,0,,,,0x0076,0.000000,0,,,,,,,,,,,,,,,
BOOST/AIR,AFSCD_uRaw,,,,,,,,,,,,,,,,,,,,0x0051,0.000000,0,,,,,,
BOOST/AIR,APSCD_pVal,hPa,,,,0x006E,0.000000,0,0x006E,0.125002,0.000000,0x006E,0.000000,0,0x008B,0.125002,0.000000,0x008B,0.125002,0.000000,0x006E,0.000000,0,0x006E,0.125002,0.000000,0x008B,0.125002,0.000000
